GlobalId,Name,Text
248gkaFu11TgGGHnEQdH2Q,N/A,. Description: ViewDefinition [CoordinationView_V2.0]; Implementation Level: 2;1; Originating System: 20180328_1600(x64) - Exporter 19.0.1.1 - Alternate UI 19.0.1.1; Preprocessor Version: The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013; Schema Identifiers: IFC2X3; Time Stamp: 2020-08-14T15:25:07
248gkaFu11TgGGHnEQdH2O,Default,. Category: Project Information; Top Elevation: 128; Bottom Elevation: -3.9868955034009; Global Top Elevation: 128; Global Bottom Elevation: -3.9868955034009; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -41.9566154955733; Global Y: -16.6031647068363; Global Z: -3.9868955034009; Bounding Box Length: 336.124885795277; Bounding Box Width: 518.205654447911; Bounding Box Height: 131.986895503401
248gkaFu11TgGGHnEQdH2R,N/A,. Category: Project Information; NumberOfStoreys: 8; Top Elevation: 128; Bottom Elevation: -3.9868955034009; Global Top Elevation: 128; Global Bottom Elevation: -3.9868955034009; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -41.9566154955733; Global Y: -16.6031647068363; Global Z: -3.9868955034009; Bounding Box Length: 336.124885795277; Bounding Box Width: 518.205654447911; Bounding Box Height: 131.986895503401
248gkaFu11TgGGHnDbO3GV,Level 1,". Elevation: 0; Elevation Base: Project Base Point; Computation Height: 0; Color: 0; Line Pattern: Grid Line 1/2""; Line Weight: 1; Symbol: Level Head - Circle: Level Head - Circle; Symbol at End 1 Default: 0; Symbol at End 2 Default: 1; Building Story: 1; Name: Level 1; Structural: 0; Type Name: 1/4"" Head; Category: Levels; Family: Level: 1/4"" Head; Family and Type: Level: 1/4"" Head; Type: Level: 1/4"" Head; Type Id: Level: 1/4"" Head; Category: Levels; Family Name: Level; AboveGround: 9.88131291682493E-324; Top Elevation: 114.829396325467; Bottom Elevation: -3.9868955034009; Global Top Elevation: 114.829396325467; Global Bottom Elevation: -3.9868955034009; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -41.9566154955733; Global Y: 140.098483938673; Global Z: -3.9868955034009; Bounding Box Length: 334.575390064353; Bounding Box Width: 361.504005802402; Bounding Box Height: 118.816291828868"
1IjDNnD1b6tenKMZR0qHo0,Option 2 - Ribs Faceted:Option 2 - Ribs Faceted:187261,. Level: Level: Level 1; Offset: 0; Work Plane: Level : Level 1; Area: 313034.338876387; Gross Surface Area: 314907.977871039; Gross Volume: 4811800.10234531; Volume: 5484670.40104745; Category: Mass; Family: Option 2 - Ribs Faceted: Option 2 - Ribs Faceted; Family and Type: Option 2 - Ribs Faceted: Option 2 - Ribs Faceted; Schedule Level: Level: Level 1; Type: Option 2 - Ribs Faceted: Option 2 - Ribs Faceted; Type Id: Option 2 - Ribs Faceted: Option 2 - Ribs Faceted; Phase Created: New Construction; Reference: Option 2 - Ribs Faceted; Storey: Level 1; Top Elevation: 114.829396325467; Bottom Elevation: 0; Global Top Elevation: 114.829396325467; Global Bottom Elevation: 0; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -39.6370790256784; Global Y: 140.098483938673; Global Z: 0; Bounding Box Length: 332.255853594458; Bounding Box Width: 304.338651471693; Bounding Box Height: 114.829396325467; Layer: A-MASS
1IjDNnD1b6tenKMZR0qHkx,N/A,. Offset From Level: 0; Offset From Wall: 0; Length: 262.319859004429; Category: Wall Sweeps; Phase Created: New Construction; Storey: Level 1; Top Elevation: 20; Bottom Elevation: 19.3438320209972; Global Top Elevation: 20; Global Bottom Elevation: 19.3438320209972; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -41.3445114469154; Global Y: 192.310126409889; Global Z: 19.3438320209972; Bounding Box Length: 68.937836069779; Bounding Box Width: 253.521365955856; Bounding Box Height: 0.656167979002845; Layer: A-WALL
1IjDNnD1b6tenKMZR0qHkt,N/A,. Offset From Level: 0; Offset From Wall: 0; Length: 191.646770372833; Category: Wall Sweeps; Phase Created: New Construction; Storey: Level 1; Top Elevation: 20; Bottom Elevation: 19.3438320209974; Global Top Elevation: 20; Global Bottom Elevation: 19.3438320209974; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 26.5863338249909; Global Y: 444.51915640774; Global Z: 19.3438320209974; Bounding Box Length: 191.772644222567; Bounding Box Width: 1.3123359580066; Bounding Box Height: 0.656167979002635; Layer: A-WALL
1IjDNnD1b6tenKMZR0qHkT,N/A,. Offset From Level: 0; Offset From Wall: 0; Length: 137.476824817281; Category: Wall Sweeps; Phase Created: New Construction; Storey: Level 1; Top Elevation: 20.0000000000003; Bottom Elevation: 19.3438320209974; Global Top Elevation: 20.0000000000003; Global Bottom Elevation: 19.3438320209974; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -41.3445114469163; Global Y: 173.993186288319; Global Z: 19.3438320209974; Bounding Box Length: 135.968027517007; Bounding Box Width: 19.2435076982256; Bounding Box Height: 0.656167979002912; Layer: A-WALL
1IjDNnD1b6tenKMZR0qHkP,N/A,. Offset From Level: 0; Offset From Wall: 0; Length: 138.605578371176; Category: Wall Sweeps; Phase Created: New Construction; Storey: Level 1; Top Elevation: 20.0000000000011; Bottom Elevation: 19.3438320209982; Global Top Elevation: 20.0000000000011; Global Bottom Elevation: 19.3438320209982; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 149.197937133491; Global Y: 173.991767440811; Global Z: 19.3438320209982; Bounding Box Length: 137.091654806093; Bounding Box Width: 19.2453532429634; Bounding Box Height: 0.656167979002895; Layer: A-WALL
1IjDNnD1b6tenKMZR0qHkR,N/A,. Offset From Level: 0; Offset From Wall: 0; Length: 262.318993474671; Category: Wall Sweeps; Phase Created: New Construction; Storey: Level 1; Top Elevation: 20; Bottom Elevation: 19.3438320209974; Global Top Elevation: 20; Global Bottom Elevation: 19.3438320209974; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 217.351987249685; Global Y: 192.310989931374; Global Z: 19.3438320209974; Bounding Box Length: 68.937604689898; Bounding Box Width: 253.520502434373; Bounding Box Height: 0.656167979002635; Layer: A-WALL
